,time,lat,lon,delta,dist,heading,rad_heading,m/s,knots
1128,2021-10-30 03:43:50,-33.82699507288634777,151.28026231192052364,1.0,4.591365438355367,110.01167455360559,1.9200659365928807,4.591365438355367,8.924898159154449
1129,2021-10-30 03:43:51,-33.82701124995946884,151.2803121842443943,1.0,4.9532000017310365,111.23910439492956,1.9414886286612152,4.9532000017310365,9.628248104164864
1130,2021-10-30 03:43:52,-33.827023571357131004,151.28036205656826496,1.0,4.814801126344004,106.49012225801582,1.8586032542536746,4.814801126344004,9.359222280637033
1131,2021-10-30 03:43:53,-33.827035389840602875,151.28040773794054985,1.0,4.4273230433651625,107.22307758902909,1.8713957380499011,4.4273230433651625,8.60602533390711
1132,2021-10-30 03:43:54,-33.82704896852374077,151.28045132383704185,1.0,4.306761357345996,110.46987531950552,1.9280630485929942,4.306761357345996,8.37167222390887
1133,2021-10-30 03:43:55,-33.827058440074324608,151.2804962508380413,1.0,4.289603064118217,104.17667571217586,1.8182259949598774,4.289603064118217,8.338319178567811
1134,2021-10-30 03:43:56,-33.827063972130417824,151.2805414292961359,1.0,4.227015781831491,98.3468036018622,1.716475531664714,4.227015781831491,8.216659265418452
1135,2021-10-30 03:43:57,-33.827065397053956985,151.28058593720197678,1.0,4.123197508317061,92.19682723863406,1.609138195206556,4.123197508317061,8.014852737357067
1136,2021-10-30 03:43:58,-33.827069420367479324,151.28063463605940342,1.0,4.530164123681797,95.65334538430864,1.6694658175035064,4.530164123681797,8.80593235083412
1137,2021-10-30 03:43:59,-33.82707713171839714,151.28068710677325726,1.0,4.932031050584165,99.98702930747855,1.7451028707035663,4.932031050584165,9.587098965491725
1138,2021-10-30 03:44:00,-33.827082160860300064,151.28073756583034992,1.0,4.704264398261627,96.81013541089233,1.6896556122216246,4.704264398261627,9.144356124974474
1139,2021-10-30 03:44:01,-33.82708987221121788,151.28078676760196686,1.0,4.634301872735053,100.6358795849472,1.7564274443978731,4.634301872735053,9.008359889504796
1140,2021-10-30 03:44:02,-33.82709590718150139,151.28083739429712296,1.0,4.734155673039913,98.12869539419141,1.7126688253152351,4.734155673039913,9.202460100104597
1141,2021-10-30 03:44:03,-33.827099846675992012,151.28089061938226223,1.0,4.946466677271879,95.06807206389215,1.6592508710381588,4.946466677271879,9.615159571814877
1142,2021-10-30 03:44:04,-33.82710663601756096,151.28094409592449665,1.0,5.007357584469274,98.64968534587109,1.7217618153418515,5.007357584469274,9.73352199642509
1143,2021-10-30 03:44:05,-33.827113760635256767,151.28099614754319191,1.0,4.882871073779153,99.31388780298595,1.7333543351183425,4.882871073779153,9.491539639539164
1144,2021-10-30 03:44:06,-33.82712717168033123,151.28104778006672859,1.0,5.0058294357257385,107.2872521645804,1.8725157956893412,5.0058294357257385,9.730551513658861
1145,2021-10-30 03:44:07,-33.827142175287008286,151.2810984905809164,1.0,4.9806057786301485,109.5198915003786,1.911482703108559,4.9806057786301485,9.681520659155542
1146,2021-10-30 03:44:08,-33.827155670151114464,151.28115305677056313,1.0,5.268386334840375,106.50611622694333,1.8588824016719214,5.268386334840375,10.240921166661455
1147,2021-10-30 03:44:09,-33.82716665044426918,151.28120460547506809,1.0,4.924911372169325,104.31775771209995,1.820688340373851,4.924911372169325,9.57325942132311
1148,2021-10-30 03:44:10,-33.82717595435678959,151.28124777227640152,1.0,4.127119751490153,104.48043814286291,1.8235276495192272,4.127119751490153,8.022476966215624
1149,2021-10-30 03:44:11,-33.82718265987932682,151.28128867596387863,1.0,3.858870810619016,101.11293730512233,1.764753672336987,3.858870810619016,7.50104287199691
1150,2021-10-30 03:44:12,-33.827186767011880875,151.28133033402264118,1.0,3.883161939330048,96.73728431882316,1.6883841208013441,3.883161939330048,7.548261036795077
1151,2021-10-30 03:44:13,-33.827189868316054344,151.28137635067105293,1.0,4.2736944531008,94.61680784778721,1.6513748246706967,4.2736944531008,8.307395320493272
